Date,^AXJO,^BSESN,^GSPC,^HSI,^JKSE,^KLSE,^KS11,^N225,^NSEI,^NZ50,^STI,^TWII
2018-07-09,6286.0,35934.71875,2784.169921875,28688.5,5807.375,1672.6300048828125,2285.800048828125,22052.1796875,10852.900390625,9061.650390625,3228.820068359375,10720.2802734375
2018-07-10,6258.10009765625,36239.62109375,2793.840087890625,28682.25,5881.759765625,1687.1300048828125,2294.159912109375,22196.890625,10947.25,9022.9296875,3274.830078125,10756.8896484375
2018-07-11,6215.60009765625,36265.9296875,2774.02001953125,28311.689453125,5893.35888671875,1688.77001953125,2280.6201171875,21932.2109375,10948.2998046875,9001.3896484375,3249.080078125,10676.83984375
2018-07-12,6268.2998046875,36548.41015625,2798.2900390625,28480.830078125,5907.8720703125,1703.5699462890625,2285.06005859375,22187.9609375,11023.2001953125,8985.4697265625,3253.010009765625,10738.3798828125
2018-07-13,6268.39990234375,36541.62890625,2801.31005859375,28525.439453125,5944.07421875,1721.9300537109375,2310.89990234375,22597.349609375,11018.900390625,9024.1904296875,3260.35009765625,10864.5400390625
2018-07-16,6241.5,36323.76953125,2798.429931640625,28539.66015625,5905.158203125,1726.6700439453125,2301.989990234375,22597.349609375,10936.849609375,8980.3095703125,3232.7900390625,10817.4501953125
2018-07-17,6203.60009765625,36519.9609375,2809.550048828125,28181.6796875,5861.5078125,1737.280029296875,2297.919921875,22697.359375,11008.0498046875,8978.8896484375,3239.639892578125,10778.990234375
2018-07-18,6245.10009765625,36373.44140625,2815.6201171875,28117.419921875,5890.73095703125,1753.0699462890625,2290.110107421875,22794.189453125,10980.4501953125,8946.099609375,3240.5,10842.4599609375
2018-07-19,6262.7001953125,36351.23046875,2804.489990234375,28010.859375,5871.0771484375,1759.239990234375,2282.2900390625,22764.6796875,10957.099609375,8917.58984375,3277.580078125,10835.3798828125
2018-07-20,6285.89990234375,36496.37109375,2801.830078125,28224.48046875,5872.7841796875,1754.6700439453125,2289.18994140625,22697.880859375,11010.2001953125,8955.5400390625,3297.830078125,10932.1103515625
2018-07-23,6227.60009765625,36718.6015625,2806.97998046875,28256.119140625,5915.7958984375,1757.9599609375,2269.31005859375,22396.990234375,11084.75,8872.5595703125,3293.7099609375,10946.8896484375
2018-07-24,6265.7998046875,36825.1015625,2820.39990234375,28662.5703125,5931.841796875,1762.9300537109375,2280.199951171875,22510.48046875,11134.2998046875,8901.3203125,3292.64990234375,10995.3896484375
2018-07-25,6247.60009765625,36858.23046875,2846.070068359375,28920.900390625,5933.88916015625,1763.780029296875,2273.030029296875,22614.25,11132.0,8933.8896484375,3326.830078125,10965.7900390625
2018-07-26,6244.5,36984.640625,2837.43994140625,28781.140625,5946.13623046875,1766.22998046875,2289.06005859375,22586.869140625,11167.2998046875,8932.48046875,3328.60009765625,11010.6103515625
2018-07-27,6300.2001953125,37336.8515625,2818.820068359375,28804.279296875,5989.13623046875,1769.1400146484375,2294.989990234375,22712.75,11278.349609375,8996.16015625,3324.97998046875,11075.7802734375
2018-07-30,6278.39990234375,37494.3984375,2802.60009765625,28733.130859375,6027.93603515625,1770.260009765625,2293.510009765625,22544.83984375,11319.5498046875,8921.3798828125,3307.14990234375,11033.5400390625
2018-07-31,6280.2001953125,37606.578125,2816.2900390625,28583.009765625,5936.44287109375,1784.25,2295.260009765625,22553.720703125,11356.5,8922.08984375,3319.85009765625,11057.509765625
2018-08-01,6275.7001953125,37521.62109375,2813.360107421875,28340.740234375,6033.4189453125,1788.31005859375,2307.070068359375,22746.69921875,11346.2001953125,8859.919921875,3328.949951171875,11098.1298828125
2018-08-02,6240.89990234375,37165.16015625,2827.219970703125,27714.560546875,6011.72314453125,1778.1300048828125,2270.199951171875,22512.529296875,11244.7001953125,8849.16015625,3286.320068359375,10929.76953125
2018-08-03,6234.7998046875,37556.16015625,2840.35009765625,27676.3203125,6007.5380859375,1780.0899658203125,2287.679931640625,22525.1796875,11360.7998046875,8864.51953125,3265.72998046875,11012.4296875
2018-08-06,6273.0,37691.890625,2850.39990234375,27819.560546875,6101.130859375,1779.75,2286.5,22507.3203125,11387.099609375,8903.1298828125,3285.340087890625,11024.099609375
2018-08-07,6253.89990234375,37665.80078125,2858.449951171875,28248.880859375,6091.25,1791.0899658203125,2300.159912109375,22662.740234375,11389.4501953125,8875.73046875,3340.0,10983.4404296875
2018-08-08,6268.5,37887.55859375,2857.699951171875,28359.140625,6094.8291015625,1804.72998046875,2301.449951171875,22644.310546875,11450.0,8872.08984375,3326.739990234375,11075.25
2018-08-09,6297.7001953125,38024.37109375,2853.580078125,28607.30078125,6065.255859375,1804.949951171875,2303.7099609375,22598.390625,11470.7001953125,8940.1904296875,,11028.0703125
2018-08-10,6278.39990234375,37869.23046875,2833.280029296875,28366.619140625,6077.1728515625,1805.75,2282.7900390625,22298.080078125,11429.5,9010.6103515625,3284.780029296875,10983.6796875
2018-08-13,6252.2001953125,37644.8984375,2821.929931640625,27936.5703125,5861.24609375,1783.3399658203125,2248.449951171875,21857.4296875,11355.75,8945.0400390625,3245.340087890625,10748.919921875
2018-08-14,6299.60009765625,37852.0,2839.9599609375,27752.9296875,5769.873046875,1783.780029296875,2258.909912109375,22356.080078125,11435.099609375,8971.9404296875,3242.8701171875,10824.23046875
